symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Geneid	Regulate
Tmem119	871.352559400633	5.18555777540005	0.577147070708348	8.98481173790881	2.59177626740554e-19	2.94166606350528e-15	ENSMUSG00000054675.5	Up
Ngfr	696.218287804548	4.96023673684394	0.644275986845701	7.69893157298734	1.3720861608126e-14	7.78658896261152e-11	ENSMUSG00000000120.6	Up
Atp2a3	451.847940689212	3.13841999082457	0.449649845693231	6.97969769340413	2.95815900010472e-12	1.11917015503962e-08	ENSMUSG00000020788.15	Up
CT010467.2	950.232878535532	2.61696760833582	0.380459359943399	6.87844191486087	6.05107131371566e-12	1.71699148526682e-08	ENSMUSG00000118642.1	Up
Flrt2	764.996482385265	-2.17313689209221	0.330874768223265	-6.56785316015949	5.10458403933286e-11	1.15874057692856e-07	ENSMUSG00000047414.6	Down
Emilin1	369.71614226145	4.07739237117079	0.640591476710739	6.36504311937941	1.95234880687872e-10	3.69319315967892e-07	ENSMUSG00000029163.9	Up
Ptpru	348.319964757613	3.77081347200971	0.597544091482267	6.31051921650809	2.78100878284041e-10	4.50920709789123e-07	ENSMUSG00000028909.17	Up
Col6a1	286.686053756106	3.39246616229488	0.551810752050959	6.14787977524147	7.85255155757485e-10	1.11408075223093e-06	ENSMUSG00000001119.7	Up
Col18a1	535.802645680172	2.0649797760912	0.346641171705523	5.95711053574857	2.5673660459711e-09	3.23773384686356e-06	ENSMUSG00000001435.15	Up
Gas6	837.719628393503	3.63880632202774	0.628075855245458	5.79357778465415	6.89025504054757e-09	7.8204394710215e-06	ENSMUSG00000031451.6	Up
Sct	304.571628454533	3.42646243428815	0.59417760646579	5.76673101948252	8.08238927740106e-09	8.33955620895473e-06	ENSMUSG00000038580.13	Up
H19	3136.44019268192	3.16306795571741	0.556989019660869	5.67886950023411	1.35587871459512e-08	1.1837864162042e-05	ENSMUSG00000000031.16	Up
Hes6	823.871817974881	2.9899257451815	0.526381235311034	5.68015260539214	1.34574617810464e-08	1.1837864162042e-05	ENSMUSG00000067071.8	Up
Prelp	112.406539579274	3.17213760882982	0.565783929686724	5.60662373458759	2.06311498116403e-08	1.5977695640205e-05	ENSMUSG00000041577.5	Up
Ltbp3	1549.20439997823	2.49990639398551	0.446204613494068	5.6026009556684	2.11158973218568e-08	1.5977695640205e-05	ENSMUSG00000024940.11	Up
Prex1	901.894397214279	2.72637869691834	0.498856370202579	5.4652578573091	4.62234376692784e-08	3.27897510966444e-05	ENSMUSG00000039621.13	Up
Gm23935	11530.1454111407	2.2709460734797	0.420646851343209	5.39869980300131	6.71255836105359e-08	4.48161984693872e-05	ENSMUSG00000076258.1	Up
Lzts2	429.558859401996	2.49034767716696	0.464726429265576	5.35873907817668	8.3804783591739e-08	5.28435718759021e-05	ENSMUSG00000035342.14	Up
Ephb2	179.740549530785	4.22474508306941	0.793376388628052	5.32501993205905	1.00941970183603e-07	6.02995453465209e-05	ENSMUSG00000028664.14	Up
Ddit4	396.167162076343	1.99027002733815	0.375335589790489	5.30264137341495	1.14139011494313e-07	6.47738890230227e-05	ENSMUSG00000020108.4	Normal
Jsrp1	220.474875695651	3.00544721047504	0.572984110622322	5.24525402146109	1.5606715055553e-07	8.43505789907271e-05	ENSMUSG00000020216.13	Up
Pitx3	161.874822178895	3.31300172106762	0.636733961290742	5.203117663697	1.95972701132813e-07	0.000101104098084428	ENSMUSG00000025229.15	Up
Hspb1	993.906055449637	1.65861165609871	0.319955266897347	5.18388608564725	2.17309690851749e-07	0.000107237608311624	ENSMUSG00000004951.10	Normal
Junb	738.119347477651	2.12145463544418	0.410411353954923	5.16909343516161	2.35232277451188e-07	0.000111245264544624	ENSMUSG00000052837.7	Up
Tppp3	260.343644773707	2.69978132560065	0.523594037552333	5.15624917774356	2.519455780438e-07	0.000114383292431885	ENSMUSG00000014846.12	Up
Col6a2	198.495740283358	3.12650612238612	0.607276834976728	5.14840340074216	2.6271302118071e-07	0.000114684338092348	ENSMUSG00000020241.13	Up
Cdk6	1050.45354291211	-1.55349048123267	0.302806006702615	-5.13031593444691	2.89256283060473e-07	0.000121594770842088	ENSMUSG00000040274.11	Down
Crip1	598.14396706786	2.63892651207713	0.516956338456855	5.10473770368011	3.31253653418578e-07	0.000134276034510745	ENSMUSG00000006360.11	Up
Capn5	227.897286058265	2.76153987652593	0.543255739907707	5.08331467789936	3.70904454137511e-07	0.000145164329464164	ENSMUSG00000035547.14	Up
Obsl1	368.31273647284	2.65609253664333	0.529632757044884	5.01497028141376	5.30416635613459e-07	0.000200674293807092	ENSMUSG00000026211.17	Up
Myom3	121.87335829873	2.88715640663712	0.578269422887102	4.99275301851953	5.95246569139859e-07	0.00021793705031411	ENSMUSG00000037139.15	Up
Ddr1	1522.23297733763	2.53161381099583	0.510939810128179	4.95481808387709	7.23979913783016e-07	0.000256786625669914	ENSMUSG00000003534.17	Up
Plekhg5	278.346091828755	2.72028821250868	0.551813176167295	4.92972681696887	8.23446820449182e-07	0.000283215800366613	ENSMUSG00000039713.17	Up
Prrx2	264.762390335736	2.87821991519284	0.584737987740503	4.9222386359994	8.5559791698324e-07	0.000285618716404699	ENSMUSG00000039476.13	Up
Sardh	153.19783273298	2.83899855855994	0.577720337293546	4.91413989658013	8.917306132491e-07	0.000289175498867922	ENSMUSG00000009614.16	Up
Gdf15	187.520177637396	2.04444041719283	0.418768032881215	4.88203553439033	1.04996329329959e-06	0.000331030093859733	ENSMUSG00000038508.7	Up
Ccl2	405.39281722167	-2.058145185712	0.425063838105042	-4.84196725575934	1.28559952671048e-06	0.000394366341301728	ENSMUSG00000035385.5	Down
Camk2b	128.952839198796	2.87198580280094	0.594282911894861	4.83269120702741	1.3469963525885e-06	0.000398039984945657	ENSMUSG00000057897.14	Up
Hr	129.663629345243	2.71618753558189	0.562632706686843	4.82763888999027	1.38161327725958e-06	0.000398039984945657	ENSMUSG00000022096.14	Up
Scx	164.657648546264	2.66317519783555	0.552562134253756	4.81968457978434	1.43785369011206e-06	0.000398039984945657	ENSMUSG00000034161.8	Up
Jup	525.746175056824	2.21279946430966	0.458765926017257	4.8233736178271	1.41150216569196e-06	0.000398039984945657	ENSMUSG00000001552.14	Up
Sorbs3	194.698093609354	2.87459731287055	0.597638253141214	4.80992857763294	1.50984235540907e-06	0.000408016922235545	ENSMUSG00000022091.6	Up
Dusp27	68.8960839706651	4.13012412833327	0.859745984644689	4.80388882541876	1.5561325500566e-06	0.000410746614956799	ENSMUSG00000026564.9	Up
G0s2	370.862413588848	2.72656901527944	0.568745590436918	4.79400466768428	1.63484467339942e-06	0.000421715614615531	ENSMUSG00000009633.3	Up
Hmga2	2775.69092696801	-1.76307571740841	0.369311192892265	-4.77395689960237	1.80641057364851e-06	0.000455616889131345	ENSMUSG00000056758.14	Down
Dmp1	225.557573569443	2.97666482281809	0.626392543596132	4.75207576023973	2.01338899748296e-06	0.000496781850465904	ENSMUSG00000029307.7	Up
Cyp26b1	763.083059255354	2.73202875151256	0.578344541061709	4.72387747707825	2.31389855480875e-06	0.000558781885044241	ENSMUSG00000063415.12	Up
Pink1	150.541557617508	2.80489292138046	0.594787480425395	4.71579011611742	2.40774539771447e-06	0.000569331463834568	ENSMUSG00000028756.12	Up
Aldh2	1302.86335131458	2.17915994951157	0.464170914877656	4.69473609755566	2.66951129968646e-06	0.000618345984723291	ENSMUSG00000029455.14	Up
